Record_ID,MunicipalityName,PRNAME,PRUID,CSDNAME,CSDUID,ERNAME,ERUID,CMANAME,CMAUID,FacilityType,MainCommodities,Additonal Information,Longitude,Latitude,Comments,Sourceofdataentry
2400057,Quyon ,Quebec / Québec,24,Pontiac,2482030,Outaouais,2460,Ottawa - Gatineau (partie du Québec / Quebec part),505,,,,-76.05116667,45.51591667,,Appendix B of 1995 National Marine Policy Report
2400058,Rimouski,Quebec / Québec,24,Rimouski,2410043,Bas-Saint-Laurent,2415,Rimouski,404,Commercial/Leisure,"Wood, salt, sand","https://rimouski.ca/services/transports/port-et-marina
https://shipnext.com/port/rimouski-carim-can",-68.51438889,48.47994444,,Internal Transport Canada Research
2400059,Riviere-du-Loup,Quebec / Québec,24,Saint-Hubert-de-Rivière-du-Loup,2412010,Bas-Saint-Laurent,2415,,,,,,-69.06722222,47.84819444,,Appendix B of 1995 National Marine Policy Report
2400060,Rivière-Ouelle,Quebec / Québec,24,Rivière-Ouelle,2414065,Bas-Saint-Laurent,2415,,,,,,-70.02064399,47.42563435,Sites to be Deproclaimed as per Appendix D of 1995 National Marine Policy Report,Appendix D of 1995 National Marine Policy Report
2400061,Romaine,Quebec / Québec,24,Côte-Nord-du-Golfe-du-Saint-Laurent,2498015,Côte-Nord,2480,,,,,,-60.6894047,50.21206445,,Appendix C of 1995 National Marine Policy Report
2400062,Saint-Augustin,Quebec / Québec,24,Saint-Augustin,2498012,Côte-Nord,2480,,,Leisure,N/A,https://www.marinetraffic.com/en/ais/details/ports/25142,-58.64911354,51.22509072,,Internal Transport Canada Research
2400063,Sault-au-Mouton,Quebec / Québec,24,Longue-Rive,2495032,Côte-Nord,2480,,,,,,-69.25908284,48.52994101,Sites to be Deproclaimed as per Appendix D of 1995 National Marine Policy Report,Appendix D of 1995 National Marine Policy Report
2400064,St Romuald,Quebec / Québec,24,Lévis,2425213,Chaudière-Appalaches,2425,Québec,421,Commercial,Oil,https://shipnext.com/port/st-romuald-terminal-casro-can,-71.20822222,46.78177778,,Internal Transport Canada Research
2400065,St-Augustin (Pointe-à-la-Truite),Quebec / Québec,24,Saint-Augustin,2498012,Côte-Nord,2480,,,,,,-58.56891189,51.18152798,Remote Port as per Appendix C of 1995 National Marine Policy Report,Appendix C of 1995 National Marine Policy Report
2400066,St-Francois,Quebec / Québec,24,Saint-François-de-l'Île-d'Orléans,2420005,Capitale-Nationale,2420,Québec,421,,,,-70.80911805,46.99706464,,Appendix B of 1995 National Marine Policy Report
